,value
n_cutouts,20.0
n_tng_sightlines,500.0
n_matched_grf_sightlines,22500.0
n_heldout_grf_validation_sightlines,2500.0
attainable_empirical_null_tail_probability,0.047619047619047616
tng_distinguishable_count_ad,34.0
tng_distinguishable_fraction_ad,0.068
tng_fraction_wilson95_low,0.04906650742490687
tng_fraction_wilson95_high,0.0935209227338743
tng_fraction_cutout_bootstrap95_low,0.044
tng_fraction_cutout_bootstrap95_high,0.094
heldout_grf_distinguishable_count_ad,111.0
heldout_grf_distinguishable_fraction_ad,0.0444
heldout_grf_fraction_wilson95_low,0.03700061596252835
heldout_grf_fraction_wilson95_high,0.05319737082496784
tng_minus_heldout_grf_fraction,0.023600000000000003
excess_fraction_cutout_bootstrap95_low,-0.001999999999999995
excess_fraction_cutout_bootstrap95_high,0.052000000000000005
tng_exact_binomial_pvalue_vs_attainable_null,0.044828279950147765
heldout_grf_exact_binomial_pvalue_vs_attainable_null,0.48114057965050466
fisher_pvalue_tng_vs_heldout_grf,0.029660421249890392
tng_true_fit_rejection_fraction,0.0
grf_true_fit_rejection_fraction,0.0
tng_retained_diagnostic_flag_count,12.0
grf_retained_diagnostic_flag_count,418.0
median_tng_residual_rms,0.009436207361704651
median_matched_grf_residual_rms,0.00980544438963945
